iteration,score,epsilon
407,0,0.11599999999999994
408,1,0.11499999999999994
409,0,0.11499999999999994
410,0,0.11499999999999994
411,3,0.11399999999999993
412,0,0.11399999999999993
413,0,0.11399999999999993
414,0,0.11399999999999993
415,0,0.11399999999999993
416,0,0.11399999999999993
417,0,0.11399999999999993
418,0,0.11399999999999993
419,0,0.11399999999999993
420,0,0.11399999999999993
421,4,0.11299999999999993
422,0,0.11299999999999993
423,0,0.11299999999999993
424,1,0.11199999999999993
425,3,0.11099999999999993
426,0,0.11099999999999993
427,0,0.11099999999999993
428,2,0.10999999999999993
429,3,0.10899999999999993
430,5,0.10799999999999993
431,4,0.10699999999999993
432,1,0.10599999999999993
433,0,0.10599999999999993
434,3,0.10499999999999993
435,1,0.10399999999999993
436,0,0.10399999999999993
437,17,0.10299999999999992
438,0,0.10299999999999992
439,0,0.10299999999999992
440,0,0.10299999999999992
441,0,0.10299999999999992
442,3,0.10199999999999992
443,0,0.10199999999999992
444,2,0.10099999999999992
445,0,0.10099999999999992
446,0,0.10099999999999992
447,0,0.10099999999999992
448,1,0.09999999999999992
449,0,0.09999999999999992
450,0,0.09999999999999992
451,0,0.09999999999999992
452,3,0.09899999999999992
453,1,0.09799999999999992
454,2,0.09699999999999992
455,4,0.09599999999999992
456,2,0.09499999999999992
457,3,0.09399999999999992
458,1,0.09299999999999992
459,0,0.09299999999999992
460,1,0.09199999999999992
461,7,0.09099999999999991
462,0,0.09099999999999991
463,0,0.09099999999999991
464,7,0.08999999999999991
465,1,0.08899999999999991
466,0,0.08899999999999991
467,1,0.08799999999999991
468,1,0.08699999999999991
469,2,0.08599999999999991
470,1,0.08499999999999991
471,9,0.08399999999999991
472,2,0.08299999999999991
473,1,0.0819999999999999
474,3,0.0809999999999999
475,9,0.0799999999999999
476,4,0.0789999999999999
477,7,0.0779999999999999
478,2,0.0769999999999999
479,1,0.0759999999999999
480,0,0.0759999999999999
481,5,0.0749999999999999
482,3,0.0739999999999999
483,2,0.0729999999999999
484,0,0.0729999999999999
485,0,0.0729999999999999
486,0,0.0729999999999999
487,2,0.0719999999999999
488,1,0.0709999999999999
489,0,0.0709999999999999
490,1,0.0699999999999999
491,0,0.0699999999999999
492,1,0.0689999999999999
493,1,0.0679999999999999
494,1,0.06699999999999989
495,0,0.06699999999999989
496,3,0.06599999999999989
497,1,0.06499999999999989
498,1,0.06399999999999989
499,0,0.06399999999999989
500,2,0.06299999999999989
501,0,0.06299999999999989
502,1,0.06199999999999989
503,2,0.06099999999999989
504,1,0.05999999999999989
505,0,0.05999999999999989
506,1,0.058999999999999886
507,0,0.058999999999999886
508,4,0.057999999999999885
509,0,0.057999999999999885
510,0,0.057999999999999885
511,1,0.056999999999999884
512,3,0.05599999999999988
513,0,0.05599999999999988
514,0,0.05599999999999988
515,1,0.05499999999999988
516,1,0.05399999999999988
517,0,0.05399999999999988
518,2,0.05299999999999988
519,0,0.05299999999999988
520,1,0.05199999999999988
521,0,0.05199999999999988
522,0,0.05199999999999988
523,0,0.05199999999999988
524,0,0.05199999999999988
525,0,0.05199999999999988
526,3,0.05099999999999988
527,2,0.04999999999999988
528,0,0.04999999999999988
529,0,0.04999999999999988
530,0,0.04999999999999988
531,2,0.04899999999999988
532,0,0.04899999999999988
533,0,0.04899999999999988
534,1,0.047999999999999876
535,0,0.047999999999999876
536,2,0.046999999999999875
537,1,0.045999999999999874
538,2,0.045999999999999874
539,3,0.04499999999999987
540,1,0.04399999999999987
541,0,0.04399999999999987
542,1,0.04299999999999987
543,0,0.04299999999999987
544,0,0.04299999999999987
545,3,0.04199999999999987
546,0,0.04199999999999987
547,4,0.04099999999999987
548,1,0.03999999999999987
549,1,0.03899999999999987
550,1,0.03799999999999987
551,1,0.036999999999999866
552,9,0.035999999999999865
553,1,0.034999999999999865
554,2,0.033999999999999864
555,1,0.03299999999999986
556,6,0.03199999999999986
557,1,0.03099999999999986
558,3,0.02999999999999986
559,3,0.02899999999999986
560,3,0.02799999999999986
561,1,0.026999999999999857
562,1,0.025999999999999857
563,2,0.024999999999999856
564,3,0.023999999999999855
565,13,0.022999999999999854
566,1,0.021999999999999853
567,1,0.020999999999999852
568,1,0.01999999999999985
569,1,0.01899999999999985
570,1,0.01799999999999985
571,1,0.01699999999999985
572,1,0.015999999999999848
573,1,0.014999999999999847
574,1,0.013999999999999846
575,2,0.012999999999999845
576,1,0.011999999999999844
577,1,0.010999999999999843
578,1,0.009999999999999842
579,1,0.008999999999999841
580,1,0.00799999999999984
581,4,0.0069999999999998406
582,2,0.0059999999999998405
583,1,0.0049999999999998405
584,1,0.0039999999999998405
585,1,0.0029999999999998405
586,1,0.0019999999999998404
587,1,0.0009999999999998404
588,1,1e-05
589,1,1e-05
590,1,1e-05
591,3,1e-05
592,1,1e-05
593,1,1e-05
594,1,1e-05
595,1,1e-05
596,1,1e-05
597,1,1e-05
598,4,1e-05
599,1,1e-05
600,3,1e-05
601,1,1e-05
602,3,1e-05
603,3,1e-05
604,5,1e-05
605,5,1e-05
606,2,1e-05
607,2,1e-05
608,2,1e-05
609,10,1e-05
610,4,1e-05
611,1,1e-05
